"","X","Y","DDEG0","SLOPE","MIND","SOLRAD","TPI"
"376",578503.8,144203.7,13786,46.13,915,2974778,253
"377",572500,118400,12162,34.78,657,4004718,-154
"378",578357.6,143628.6,12770,46.83,513,7152841,237
"379",580203,142698.8,11198,39.78,658,6574676,161
"380",560976.8,142847.2,29937,24.18,140,5290876,32
"381",572987.7,120285.6,12362,55.78,531,7507233,182
"382",571600.6,138301.1,11655,43.52,429,8010506,283
"383",581701.1,141200.9,12672,40.14,569,7669418,161
"384",581299.1,144899.3,11287,43.45,575,8461096,80
"385",571003.2,130794.3,13024,43.16,458,5843337,108
"386",567504.8,137198.5,12650,39.71,484,4991919,249
"387",581099.1,136598.8,11782,42.67,744,5733125,148
"388",572001.4,118302.7,8378,14.67,781,5977087,254
"389",581701.1,141098.5,13355,43.8,585,6761028,70
"390",579098.5,123904.7,10415,7.77,752,4932678,-66
"391",577197.6,133097,22482,24.32,62,7449506,-29
"392",572402.2,117799.7,10585,6.02,586,5820300,-10
"393",572102.5,117100.2,8644,6.99,719,5317921,56
"394",571597.6,117099.2,7448,27.89,911,4449456,192
"395",577301.6,122003.7,10666,7.76,707,5186262,-58
"396",577301.8,122199,10926,1.95,629,5645549,-15
"397",578998,123800.3,10505,4.75,617,5930457,-83
"398",578898.3,123699.5,10322,3.31,660,5455237,-51
"399",563606.7,140403,25847,33.47,25,7819359,-98
"400",572402.1,117700.7,10585,7.17,566,5761916,-31
"401",579000.2,136502.1,11168,19.27,692,6114220,115
"402",572300.2,117997,10396,21.43,576,6417021,51
"403",572403.8,118198.8,10797,19.67,609,5685785,64
"404",577103.5,121999.2,10510,13.77,688,5185802,14
"405",575696,122696,22089,19.64,67,5518437,-226
"406",579599.8,127302.9,10980,35.16,583,8322483,-24
"407",579601.4,127499.5,9915,36.16,684,8428188,-120
"408",573712.5,120867.6,17589,32.77,384,5457703,10
"409",577500,126700,18311,36.03,494,4532053,-212
"410",579502.8,127600,9275,37.95,771,8414903,-117
"411",580802.5,142999.3,10313,40.22,671,8524705,275
"412",582499.4,131896.3,10348,26.08,833,5081041,-10
"413",576801.1,121397.6,9407,30.51,718,5144453,51
"414",582601.9,131597,9303,31.01,960,4911265,-118
"415",571998.7,119600.6,11375,37.53,887,3166252,103
"416",581401.6,145079.7,10438,45.69,1007,2730749,327
"417",577197.4,151400.4,13170,31.02,478,5945524,-196
"418",573303.3,146902.1,24308,25.3,-71,7219580,-106
"419",578708.6,128800.1,8745,44.16,1170,3632717,12
"420",577601.9,137196.5,9455,50.72,900,4604924,354
"421",579728.7,124201.3,9100,42.62,964,4545727,71
"422",572099.8,118101.7,8845,48.52,741,6348922,172
"423",580198.6,124398.4,9462,43.45,760,5856097,58
"424",577204.8,149998.7,15691,28.19,292,6452044,74
"425",561305.9,142601.2,26691,30.42,344,5064196,142
"426",580121.1,124212.8,8773,52.47,880,6102799,151
"427",577598.6,136899.7,8364,39.95,977,4003208,250
"428",571602.3,118200.9,10210,43.04,894,3883019,103
"429",581700.8,147601.3,24997,29.58,389,3874659,-92
"430",580298.8,124153,8628,17.12,723,6841168,246
"431",578901.3,127899.8,6692,16.61,1061,4730650,387
"432",580700.2,126000.6,13303,15,387,7785643,149
"433",569001.5,124401.1,29812,16.11,-296,7311440,148
"434",566600,134402,13911,29.13,213,7305452,87
"435",578800.8,128301.4,7908,27.43,837,6987745,83
"436",582900,131200,6340,22.45,1165,5089023,133
"437",582798.9,131200.4,6531,25.83,1140,4892754,147
"438",578801.6,128500.6,8077,12.49,898,6230808,127
"439",572101.9,116902.5,8150,18.37,818,4411940,107
"440",578699.8,128500.5,7823,17.38,901,6157292,152
"441",571900.3,117895.8,8120,19.26,755,6786520,196
"442",581610.7,147395.8,24027,28.43,398,4193888,-53
"443",578101.4,122995.5,8197,24.68,840,5521072,77
"444",579802.4,128600.2,6372,21.35,1092,5458889,315
"445",579002,127899.7,6692,12.17,1031,5746594,372
"446",571799.3,117099.9,7980,3.44,743,5609021,142
"447",579501.8,124097,7879,38.41,792,4758027,271
"448",579400.6,128199.1,6531,20.64,1112,5102179,139
"449",577098.6,151397,12661,34.07,493,6225625,-239
"450",579501.3,128201.2,6279,12.66,1078,5982610,143
"451",579852.5,124154.4,8773,47.79,826,3934718,117
"452",571600.8,117394.3,8035,39.8,925,4123157,99
"453",582301.3,131100.7,8278,25.4,1088,3790018,-171
"454",579999.7,128699.3,7404,30.49,1070,3948869,184
"455",571697,117498.5,7447,16.82,854,7863988,227
"456",578799.4,128401.5,7823,16.1,914,5652116,155
"457",572099,117900.4,9261,37.32,683,6584357,123
"458",575301.5,143399.1,24308,30.59,72,6703442,-98
"459",580099.4,128697.9,8077,37.48,1179,3534822,86
"460",571703.9,116898.8,7614,23.3,916,4495689,-123
"461",579400.3,127799.3,7426,39.87,939,8432839,116
"462",582101.1,130491,5330,30.86,1138,8199433,215
"463",579400.4,128498.4,8024,33.87,1109,4038534,138
"464",582974.9,130998.9,5809,23.33,1223,5215381,-150
"465",571797.9,134653.8,26243,31.47,185,5604128,-124
"466",571600,116800,6846,59.45,1257,2300138,-92
"467",576700,120900,7635,61.84,1384,2009462,98
"468",578002.1,122999.6,7541,42.77,841,7187978,262
"469",571599.6,117001.2,7008,35.8,878,5701161,287
"470",571999.9,118900.2,8992,41.27,814,4901716,441
"471",572599.1,146802.1,24846,28.9,-165,8270990,-77
"472",577997.6,123103.8,6995,48.98,842,4087177,276
"473",581899.6,130397.8,6854,47.27,1068,8081511,7
"474",582997.1,131788.6,7821,41.71,1118,4446134,27
"475",571499.4,117200.6,8181,41.27,889,5223573,78
"476",579602.3,127994.2,5674,45.12,1382,4528348,277
"477",571708.7,117300.1,7980,34.87,787,5789690,146
"478",572705.1,134195.4,26720,29.81,-166,7784096,-151
