"","Achillea_millefolium","Adonis_vernalis","Allium_carinatum","Anemone_patens","Anemone_pulsatilla","Anthericum_ramosum","Anthyllis_vulneraria","Arrhenatherum_elatius","Asperula_cynanchica","Asperula_tinctoria","Aster_amellus","Biscutella_laevigata","Brachypodium_pinnatum","Briza_media","Bromus_erectus","Buphthalmum_salicifolium","Campanula_glomerata","Campanula_rotundifolia","Carduus_defloratus","Carex_caryophyllea","Carex_ericetorum","Carex_humilis","Carex_montana","Centaurea_pannonica","Centaurea_scabiosa","Crepis_alpestris","Cytisus_ratisbonensis","Dactylis_glomerata","Danthonia_decumbens","Daphne_cneorum","Dorycnium_pentaphyllum_ssp_germanicum","Erica_herbacea","Euphorbia_cyparissias","Euphorbia_verrucosa","Euphrasia_picta","Festuca_rubra","Festuca_rupicola","Filipendula_vulgaris","Galium_boreale","Galium_mollugo","Galium_pumilum","Galium_verum","Genista_tinctoria","Gentiana_verna","Gentianella_germanica","Globularia_cordifolia","Globularia_punctata","Helianthemum_ovatum","Helictotrichon_pratense","Helictotrichon_pubescens","Hippocrepis_comosa","Hypericum_perforatum","Inula_hirta","Knautia_arvensis","Koeleria_macrantha","Koeleria_pyramidata","Leontodon_hispidus","Leontodon_incanus","Linaria_vulgaris","Linum_catharticum","Linum_perenne","Lotus_corniculatus_ssp_corniculatus","Lotus_corniculatus_ssp_hirsutus","Molinia_caerulea","Peucedanum_oreoselinum","Pilosella_macrantha","Pilosella_officinarum","Pimpinella_saxifraga","Plantago_lanceolata","Plantago_media","Polygala_amarella","Polygala_chamaebuxus","Polygonatum_odoratum","Potentilla_alba","Potentilla_incana","Primula_veris","Prunella_grandiflora","Ranunculus_bulbosus","Rhamnus_saxatilis","Rhinanthus_aristatus","Salvia_pratensis","Sanguisorba_minor","Scabiosa_canescens","Scabiosa_columbaria","Seseli_annuum","Sesleria_albicans","Stachys_officinalis","Taraxacum_campylodes","Teucrium_montanum","Thesium_linophyllon","Thymus_praecox","Trifolium_montanum","Trifolium_pratense","Veronica_spicata","Vicia_cracca","Viola_hirta","Viola_rupestris"
"X84I11",0,0,0,0,6,47,9,0,10,10,0,0,37,0,27,3,0,0,2,14,0,96,1,1,0,0,10,0,0,0,0,0,4,5,0,0,3,40,0,0,0,0,0,1,1,15,24,27,0,0,25,0,0,0,0,0,1,1,0,2,0,5,0,0,20,0,0,1,0,0,0,26,0,0,84,0,18,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"X84I12",0,0,5,0,0,20,1,0,9,15,0,0,44,0,5,4,0,0,2,14,0,92,5,8,0,0,14,0,0,2,0,0,0,6,0,0,0,14,1,0,0,0,0,0,0,0,1,16,0,0,15,0,0,0,0,0,7,6,0,0,23,5,1,0,16,0,0,1,0,0,0,86,0,2,14,0,0,0,0,40,0,0,0,0,0,0,4,0,8,4,14,0,0,0,0,1,0
"X84I13",0,0,0,0,3,51,18,0,16,13,0,0,37,1,13,4,0,1,0,11,0,95,3,0,0,0,0,0,3,0,0,0,5,5,30,0,0,7,0,0,0,0,0,0,0,60,5,42,0,0,11,0,0,0,0,2,0,0,0,0,30,0,0,0,18,0,0,2,0,0,0,58,0,0,64,0,9,0,0,7,0,0,0,0,0,0,1,0,48,0,9,0,0,0,0,1,0
"X84I14",0,0,4,0,1,38,1,0,18,33,0,0,17,0,10,8,0,3,9,12,3,94,1,4,1,0,5,0,0,0,0,0,1,10,18,0,0,15,0,0,0,0,0,1,1,58,2,28,0,0,4,0,0,0,0,1,0,1,0,0,50,3,0,0,20,0,1,0,0,1,0,75,0,0,51,0,27,0,0,16,0,0,4,0,0,0,6,0,14,0,2,0,0,0,0,1,0
"X84I15",0,0,1,0,8,6,0,0,3,18,0,0,52,0,35,2,0,0,0,6,0,94,4,1,0,0,10,0,0,0,0,0,1,1,1,0,4,22,0,0,0,0,0,0,0,26,1,54,0,0,12,0,0,0,0,0,0,14,0,0,7,2,0,0,35,0,0,0,0,0,0,71,0,0,65,0,10,0,0,25,1,0,0,0,0,3,8,0,42,0,28,0,0,0,0,0,0
"X84I16",0,0,0,0,6,13,4,0,24,35,0,0,51,0,35,15,0,1,0,13,6,95,5,3,0,0,10,0,0,0,0,0,15,8,1,0,0,25,0,0,0,0,0,2,0,0,1,20,0,0,12,0,0,0,0,4,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,49,0,0,76,0,0,0,0,1,0,0,0,0,0,0,7,0,26,1,12,0,0,0,0,0,0
"X84I17",0,0,0,1,6,5,0,0,22,44,0,1,50,0,27,0,0,2,0,9,6,90,0,4,0,0,7,0,0,0,0,0,1,6,0,0,3,33,0,0,0,0,0,2,1,0,0,35,1,0,20,0,0,0,0,0,0,0,0,0,15,4,0,0,11,8,4,0,0,4,0,0,0,0,74,0,34,0,0,21,0,0,0,0,0,4,21,0,23,0,33,1,0,0,0,0,0
"X84I18",0,3,0,3,1,3,1,0,18,15,0,0,52,0,14,3,0,3,14,3,3,91,2,2,0,0,11,0,0,0,0,89,18,4,7,0,2,30,0,0,0,0,0,0,5,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,31,7,0,0,20,0,0,5,0,3,0,5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,39,7,0,0,0,6,0
"X84I19",0,0,0,0,5,37,0,0,12,5,0,0,36,0,25,33,0,0,0,23,0,95,4,0,0,0,0,0,0,0,0,0,0,9,20,0,5,41,0,0,0,0,0,1,2,0,4,11,0,0,27,0,0,0,1,0,6,8,0,0,26,0,0,0,28,0,0,0,0,2,0,6,0,0,47,0,0,0,0,26,0,0,0,0,0,2,7,0,8,7,12,24,0,0,0,3,0
"X84I20",0,0,0,0,3,38,24,0,7,15,0,0,48,0,15,5,0,1,0,25,5,85,0,6,0,0,2,0,0,0,0,0,5,6,6,0,0,8,12,0,0,0,0,3,0,92,0,20,0,0,27,0,0,0,0,0,1,7,0,0,10,0,0,0,25,0,1,0,0,1,0,22,0,0,34,0,1,0,0,16,0,0,0,0,0,0,1,0,32,9,3,0,0,0,0,0,0
