"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"71","GHAM3",583,45,238.388717,-0.524153623,15,90,0,7.74,880,304,131,148,21,61,168,46,153,73,21,29,1946.38,3879.88,7314.07,2688,"Ssr","",1,0,-0.49,3.56,4.42,-1.75,1037.08
"72","GHAM4",536,40,249.742858,-0.346234001,10,90,0,8.35,864,299,128,148,22,62,169,46,153,72,22.09,27.83,3002.08,5231.4,7956.2,2688,"Ssr","",1,0,-0.52,3.32,7.82,-1.72,1120.94
"73","GHAM5",507,43,323.812591,0.807090081,15,80,0,9.87,850,295,126,147,23,64,171,46,153,71.96,23.04,26.54,9083.51,7711.22,5261.96,2688,"Ssr","",1,0,-0.32,0.06,7.21,-0.02,1126.43
"74","GHAM6",482,40,345.599823,0.968582393,15,70,0,9.13,833,289,123,147,24,66,173,46,154,71,24,25.24,10622.16,7750.39,3741.53,2688,"Ssr","",1,0,0.53,-1.23,8.04,-0.66,1087.96
"75","GHAM7",421,35,294.800811,0.419464932,10,60,0,6.41,801,280,118,147,27,70,177,45,155,69,27,23,6681.62,7366.72,7260.17,2688,"Ssr","",1,0,-0.12,-0.67,4.96,0.08,991.2
"76","GHAM8",377,27,297.681274,0.464552647,20,50,0,6.66,784,275,115,147,28,72,179,45,155,68.11,28,21.11,6922.16,7429.79,7098.22,2688,"Ssr","sandy loam",1,0,-0.56,1.38,2.23,-0.77,995.99
"77","GMOR1",251,4,339.348236,0.935741282,100,0,1.68,10.42,764,279,106,149,31,79,187,46,156,66,31,18,10364.01,8246.1,4485.05,2688,"Ssr","loamy sand",1,0,0.02,-0.43,2.88,-0.01,838.89
"78","GMOR2",249,2,348.63977,0.980408136,100,0,2.84,14.75,762,278,106,149,31,79,187,46,156,66,31,18,10768.69,8137.83,3950.56,3417,"Qrcp","loamy sand",1,0,-0.19,-2.44,2.1,0.45,833.32
"79","GMOR3",249,2,359.178527,0.999897221,100,0,3.8,15.52,762,278,106,149,31,79,188,46,156,66,31,18,10883.29,8010.12,3621.2,3417,"Qrcp","loamy sand",1,0,-0.35,-2.15,0.58,0.76,803.68
"80","GMOR4",248,2,346.131591,0.970848788,100,0,3.95,12.42,761,278,106,149,31,79,188,46,156,66,31,18,10689.72,8178.8,4080.84,3417,"Qrcp","loamy sand",1,0,-0.55,-1.75,1.64,0.96,788.63
"81","GMOR5",248,1,337.548522,0.924203284,100,0,3.98,12.83,761,278,105,149,31,79,188,46,156,66,31,18,10259.81,8268.88,4620.77,3417,"Qrcp","sandy loam",1,0,-0.77,0.32,1.08,-0.25,782.96
"82","GMOR6",247,1,342.460388,0.953508827,100,0,3.98,13.11,760,278,105,149,31,79,188,46,156,66,31,18,10535.03,8220.93,4292.46,3417,"Qrcp","sandy clay loam",0,0,-0.38,4.92,1.36,-1.86,856.17
"83","GMOR7",247,1,341.849243,0.950240138,100,0,3.97,13.31,760,278,105,149,31,79,188,45,157,66,31,18,10504.89,8229.53,4327.29,3417,"Qrcp","sandy clay loam",0,0,-0.15,5.36,0.84,-0.78,884.89
"84","GMOR8R",247,1,336.596405,0.917729705,100,0,3.98,13.37,759,278,105,149,31,79,188,45,157,66,31,18,10198.14,8281.32,4692.43,3417,"Qrcp","sandy loam",1,0,0.05,5.57,1.14,0.28,904.91
